CountyFIPS;County;StateFIPS;State
1001;Autauga;1;AL
1003;Baldwin;1;AL
1005;Barbour;1;AL
1007;Bibb;1;AL
1009;Blount;1;AL
1011;Bullock;1;AL
1013;Butler;1;AL
1015;Calhoun;1;AL
1017;Chambers;1;AL
1019;Cherokee;1;AL
1021;Chilton;1;AL
1023;Choctaw;1;AL
1025;Clarke;1;AL
1027;Clay;1;AL
1029;Cleburne;1;AL
1031;Coffee;1;AL
1033;Colbert;1;AL
1035;Conecuh;1;AL
1037;Coosa;1;AL
1039;Covington;1;AL
1041;Crenshaw;1;AL
1043;Cullman;1;AL
1045;Dale;1;AL
1047;Dallas;1;AL
1049;DeKalb;1;AL
1051;Elmore;1;AL
1053;Escambia;1;AL
1055;Etowah;1;AL
1057;Fayette;1;AL
1059;Franklin;1;AL
1061;Geneva;1;AL
1063;Greene;1;AL
1065;Hale;1;AL
1067;Henry;1;AL
1069;Houston;1;AL
1071;Jackson;1;AL
1073;Jefferson;1;AL
1075;Lamar;1;AL
1077;Lauderdale;1;AL
1079;Lawrence;1;AL
1081;Lee;1;AL
1083;Limestone;1;AL
1085;Lowndes;1;AL
1087;Macon;1;AL
1089;Madison;1;AL
1091;Marengo;1;AL
1093;Marion;1;AL
1095;Marshall;1;AL
1097;Mobile;1;AL
1099;Monroe;1;AL
1101;Montgomery;1;AL
1103;Morgan;1;AL
1105;Perry;1;AL
1107;Pickens;1;AL
1109;Pike;1;AL
1111;Randolph;1;AL
1113;Russell;1;AL
1115;St. Clair;1;AL
1117;Shelby;1;AL
1119;Sumter;1;AL
1121;Talladega;1;AL
1123;Tallapoosa;1;AL
1125;Tuscaloosa;1;AL
1127;Walker;1;AL
1129;Washington;1;AL
1131;Wilcox;1;AL
1133;Winston;1;AL
2013;Aleutians East Borough;2;AK
2016;Aleutians West Census Area;2;AK
2020;Anchorage Municipality;2;AK
2050;Bethel Census Area;2;AK
2060;Bristol Bay Borough;2;AK
2068;Denali Borough;2;AK
2070;Dillingham Census Area;2;AK
2090;Fairbanks North Star Borough;2;AK
2100;Haines Borough;2;AK
2105;Hoonah-Angoon Census Area;2;AK
2110;Juneau City and Borough;2;AK
2122;Kenai Peninsula Borough;2;AK
2130;Ketchikan Gateway Borough;2;AK
2150;Kodiak Island Borough;2;AK
2164;Lake and Peninsula Borough;2;AK
2170;Matanuska-Sustina Borough;2;AK
2180;Nome Census Area;2;AK
2185;North Slope Borough;2;AK
2188;Northwest Arctic Borough;2;AK
2195;Petersburg Census Area;2;AK
2198;Prince of Wales-Hyder Census Area;2;AK
2220;Sitka City and Borough;2;AK
2230;Skagway Municipality;2;AK
2240;Southeast Fairbanks Census Area;2;AK
2261;Valdez-Cordova Census Area;2;AK
2270;Wade Hampton Census Area;2;AK
2275;Wrangell City and Borough;2;AK
2282;Yakutat City and Borough;2;AK
2290;Yukon-Koyukuk Census Area;2;AK
4001;Apache;4;AZ
4003;Cochise;4;AZ
4005;Coconino;4;AZ
4007;Gila;4;AZ
4009;Graham;4;AZ
4011;Greenlee;4;AZ
4012;La Paz;4;AZ
4013;Maricopa;4;AZ
4015;Mohave;4;AZ
4017;Navajo;4;AZ
4019;Pima;4;AZ
4021;Pinal;4;AZ
4023;Santa Cruz;4;AZ
4025;Yavapai;4;AZ
4027;Yuma;4;AZ
5001;Arkansas;5;AR
5003;Ashley;5;AR
5005;Baxter;5;AR
5007;Benton;5;AR
5009;Boone;5;AR
5011;Bradley;5;AR
5013;Calhoun;5;AR
5015;Carroll;5;AR
5017;Chicot;5;AR
5019;Clark;5;AR
5021;Clay;5;AR
5023;Cleburne;5;AR
5025;Cleveland;5;AR
5027;Columbia;5;AR
5029;Conway;5;AR
5031;Craighead;5;AR
5033;Crawford;5;AR
5035;Crittenden;5;AR
5037;Cross;5;AR
5039;Dallas;5;AR
5041;Desha;5;AR
5043;Drew;5;AR
5045;Faulkner;5;AR
5047;Franklin;5;AR
5049;Fulton;5;AR
5051;Garland;5;AR
5053;Grant;5;AR
5055;Greene;5;AR
5057;Hempstead;5;AR
5059;Hot Spring;5;AR
5061;Howard;5;AR
5063;Independence;5;AR
5065;Izard;5;AR
5067;Jackson;5;AR
5069;Jefferson;5;AR
5071;Johnson;5;AR
5073;Lafayette;5;AR
5075;Lawrence;5;AR
5077;Lee;5;AR
5079;Lincoln;5;AR
5081;Little River;5;AR
5083;Logan;5;AR
5085;Lonoke;5;AR
5087;Madison;5;AR
5089;Marion;5;AR
5091;Miller;5;AR
5093;Mississippi;5;AR
5095;Monroe;5;AR
5097;Montgomery;5;AR
5099;Nevada;5;AR
5101;Newton;5;AR
5103;Ouachita;5;AR
5105;Perry;5;AR
5107;Phillips;5;AR
5109;Pike;5;AR
5111;Poinsett;5;AR
5113;Polk;5;AR
5115;Pope;5;AR
5117;Prairie;5;AR
5119;Pulaski;5;AR
5121;Randolph;5;AR
5123;St. Francis;5;AR
5125;Saline;5;AR
5127;Scott;5;AR
5129;Searcy;5;AR
5131;Sebastian;5;AR
5133;Sevier;5;AR
5135;Sharp;5;AR
5137;Stone;5;AR
5139;Union;5;AR
5141;Van Buren;5;AR
5143;Washington;5;AR
5145;White;5;AR
5147;Woodruff;5;AR
5149;Yell;5;AR
6001;Alameda;6;CA
6003;Alpine;6;CA
6005;Amador;6;CA
6007;Butte;6;CA
6009;Calaveras;6;CA
6011;Colusa;6;CA
6013;Contra Costa;6;CA
6015;Del Norte;6;CA
6017;El Dorado;6;CA
6019;Fresno;6;CA
6021;Glenn;6;CA
6023;Humboldt;6;CA
6025;Imperial;6;CA
6027;Inyo;6;CA
6029;Kern;6;CA
6031;Kings;6;CA
6033;Lake;6;CA
6035;Lassen;6;CA
6037;Los Angeles;6;CA
6039;Madera;6;CA
6041;Marin;6;CA
6043;Mariposa;6;CA
6045;Mendocino;6;CA
6047;Merced;6;CA
6049;Modoc;6;CA
6051;Mono;6;CA
6053;Monterey;6;CA
6055;Napa;6;CA
6057;Nevada;6;CA
6059;Orange;6;CA
6061;Placer;6;CA
6063;Plumas;6;CA
6065;Riverside;6;CA
6067;Sacramento;6;CA
6069;San Benito;6;CA
6071;San Bernardino;6;CA
6073;San Diego;6;CA
6075;San Francisco;6;CA
6077;San Joaquin;6;CA
6079;San Luis Obispo;6;CA
6081;San Mateo;6;CA
6083;Santa Barbara;6;CA
6085;Santa Clara;6;CA
6087;Santa Cruz;6;CA
6089;Shasta;6;CA
6091;Sierra;6;CA
6093;Siskiyou;6;CA
6095;Solano;6;CA
6097;Sonoma;6;CA
6099;Stanislaus;6;CA
6101;Sutter;6;CA
6103;Tehama;6;CA
6105;Trinity;6;CA
6107;Tulare;6;CA
6109;Tuolumne;6;CA
6111;Ventura;6;CA
6113;Yolo;6;CA
6115;Yuba;6;CA
8001;Adams;8;CO
8003;Alamosa;8;CO
8005;Arapahoe;8;CO
8007;Archuleta;8;CO
8009;Baca;8;CO
8011;Bent;8;CO
8013;Boulder;8;CO
8014;Broomfield;8;CO
8015;Chaffee;8;CO
8017;Cheyenne;8;CO
8019;Clear Creek;8;CO
8021;Conejos;8;CO
8023;Costilla;8;CO
8025;Crowley;8;CO
8027;Custer;8;CO
8029;Delta;8;CO
8031;Denver;8;CO
8033;Dolores;8;CO
8035;Douglas;8;CO
8037;Eagle;8;CO
8039;Elbert;8;CO
8041;El Paso;8;CO
8043;Fremont;8;CO
8045;Garfield;8;CO
8047;Gilpin;8;CO
8049;Grand;8;CO
8051;Gunnison;8;CO
8053;Hinsdale;8;CO
8055;Huerfano;8;CO
8057;Jackson;8;CO
8059;Jefferson;8;CO
8061;Kiowa;8;CO
8063;Kit Carson;8;CO
8065;Lake;8;CO
8067;La Plata;8;CO
8069;Larimer;8;CO
8071;Las Animas;8;CO
8073;Lincoln;8;CO
8075;Logan;8;CO
8077;Mesa;8;CO
8079;Mineral;8;CO
8081;Moffat;8;CO
8083;Montezuma;8;CO
8085;Montrose;8;CO
8087;Morgan;8;CO
8089;Otero;8;CO
8091;Ouray;8;CO
8093;Park;8;CO
8095;Phillips;8;CO
8097;Pitkin;8;CO
8099;Prowers;8;CO
8101;Pueblo;8;CO
8103;Rio Blanco;8;CO
8105;Rio Grande;8;CO
8107;Routt;8;CO
8109;Saguache;8;CO
8111;San Juan;8;CO
8113;San Miguel;8;CO
8115;Sedgwick;8;CO
8117;Summit;8;CO
8119;Teller;8;CO
8121;Washington;8;CO
8123;Weld;8;CO
8125;Yuma;8;CO
9001;Fairfield;9;CT
9003;Hartford;9;CT
9005;Litchfield;9;CT
9007;Middlesex;9;CT
9009;New Haven;9;CT
9011;New London;9;CT
9013;Tolland;9;CT
9015;Windham;9;CT
10001;Kent;10;DE
10003;New Castle;10;DE
10005;Sussex;10;DE
11001;District of Columbia;11;DC
12001;Alachua;12;FL
12003;Baker;12;FL
12005;Bay;12;FL
12007;Bradford;12;FL
12009;Brevard;12;FL
12011;Broward;12;FL
12013;Calhoun;12;FL
12015;Charlotte;12;FL
12017;Citrus;12;FL
12019;Clay;12;FL
12021;Collier;12;FL
12023;Columbia;12;FL
12027;DeSoto;12;FL
12029;Dixie;12;FL
12031;Duval;12;FL
12033;Escambia;12;FL
12035;Flagler;12;FL
12037;Franklin;12;FL
12039;Gadsden;12;FL
12041;Gilchrist;12;FL
12043;Glades;12;FL
12045;Gulf;12;FL
12047;Hamilton;12;FL
12049;Hardee;12;FL
12051;Hendry;12;FL
12053;Hernando;12;FL
12055;Highlands;12;FL
12057;Hillsborough;12;FL
12059;Holmes;12;FL
12061;Indian River;12;FL
12063;Jackson;12;FL
12065;Jefferson;12;FL
12067;Lafayette;12;FL
12069;Lake;12;FL
12071;Lee;12;FL
12073;Leon;12;FL
12075;Levy;12;FL
12077;Liberty;12;FL
12079;Madison;12;FL
12081;Manatee;12;FL
12083;Marion;12;FL
12085;Martin;12;FL
12086;Miami-Dade;12;FL
12087;Monroe;12;FL
12089;Nassau;12;FL
12091;Okaloosa;12;FL
12093;Okeechobee;12;FL
12095;Orange;12;FL
12097;Osceola;12;FL
12099;Palm Beach;12;FL
12101;Pasco;12;FL
12103;Pinellas;12;FL
12105;Polk;12;FL
12107;Putnam;12;FL
12109;St. Johns;12;FL
12111;St. Lucie;12;FL
12113;Santa Rosa;12;FL
12115;Sarasota;12;FL
12117;Seminole;12;FL
12119;Sumter;12;FL
12121;Suwannee;12;FL
12123;Taylor;12;FL
12125;Union;12;FL
12127;Volusia;12;FL
12129;Wakulla;12;FL
12131;Walton;12;FL
12133;Washington;12;FL
13001;Appling;13;GA
13003;Atkinson;13;GA
13005;Bacon;13;GA
13007;Baker;13;GA
13009;Baldwin;13;GA
13011;Banks;13;GA
13013;Barrow;13;GA
13015;Bartow;13;GA
13017;Ben Hill;13;GA
13019;Berrien;13;GA
13021;Bibb;13;GA
13023;Bleckley;13;GA
13025;Brantley;13;GA
13027;Brooks;13;GA
13029;Bryan;13;GA
13031;Bulloch;13;GA
13033;Burke;13;GA
13035;Butts;13;GA
13037;Calhoun;13;GA
13039;Camden;13;GA
13043;Candler;13;GA
13045;Carroll;13;GA
13047;Catcosa;13;GA
13049;Charlton;13;GA
13051;Chatham;13;GA
13053;Chattahoochee;13;GA
13055;Chattooga;13;GA
13057;Cherokee;13;GA
13059;Clarke;13;GA
13061;Clay;13;GA
13063;Clayton;13;GA
13065;Clinch;13;GA
13067;Cobb;13;GA
13069;Coffee;13;GA
13071;Colquitt;13;GA
13073;Columbia;13;GA
13075;Cook;13;GA
13077;Coweta;13;GA
13079;Crawford;13;GA
13081;Crisp;13;GA
13083;Dade;13;GA
13085;Dawson;13;GA
13087;Decatur;13;GA
13089;DeKalb;13;GA
13091;Dodge;13;GA
13093;Dooly;13;GA
13095;Dougherty;13;GA
13097;Douglas;13;GA
13099;Early;13;GA
13101;Echols;13;GA
13103;Effingham;13;GA
13105;Elbert;13;GA
13107;Emanuel;13;GA
13109;Evans;13;GA
13111;Fannin;13;GA
13113;Fayette;13;GA
13115;Floyd;13;GA
13117;Forsyth;13;GA
13119;Franklin;13;GA
13121;Fulton;13;GA
13123;Gilmer;13;GA
13125;Glascock;13;GA
13127;Glynn;13;GA
13129;Gordon;13;GA
13131;Grady;13;GA
13133;Greene;13;GA
13135;Gwinnett;13;GA
13137;Habersham;13;GA
13139;Hall;13;GA
13141;Hancock;13;GA
13143;Haralson;13;GA
13145;Harris;13;GA
13147;Hart;13;GA
13149;Heard;13;GA
13151;Henry;13;GA
13153;Houston;13;GA
13155;Irwin;13;GA
13157;Jackson;13;GA
13159;Jasper;13;GA
13161;Jeff Davis;13;GA
13163;Jefferson;13;GA
13165;Jenkins;13;GA
13167;Johnson;13;GA
13169;Jones;13;GA
13171;Lamar;13;GA
